SetPoint: 5  Speed: 38  Error: -33  Integral Component: -117.7  Control Voltage: -5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -114.941  Control Voltage: 5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -113.394  Control Voltage: 5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -115.616  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -116.513  Control Voltage: -5
SetPoint: 5  Speed: -58  Error: 63  Integral Component: -112.41  Control Voltage: 5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -109.64  Control Voltage: 5
SetPoint: 5  Speed: 57  Error: -52  Integral Component: -113.051  Control Voltage: -5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -112.722  Control Voltage: 5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -112.399  Control Voltage: 5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -113.304  Control Voltage: -5
SetPoint: 5  Speed: 252  Error: -247  Integral Component: -129.117  Control Voltage: -5
SetPoint: 5  Speed: 156  Error: -151  Integral Component: -138.792  Control Voltage: -5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -137.246  Control Voltage: 5
SetPoint: 5  Speed: -39  Error: 44  Integral Component: -134.409  Control Voltage: 5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -136.576  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -137.479  Control Voltage: -5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -137.155  Control Voltage: 5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -135.616  Control Voltage: 5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -136.516  Control Voltage: -5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -136.191  Control Voltage: 5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -135.87  Control Voltage: 5
SetPoint: 5  Speed: 0  Error: 5  Integral Component: -135.547  Control Voltage: 5
SetPoint: 5  Speed: 366  Error: -361  Integral Component: -158.455  Control Voltage: -5
SetPoint: 5  Speed: 685  Error: -680  Integral Component: -202.375  Control Voltage: -5
SetPoint: 5  Speed: 527  Error: -522  Integral Component: -235.9  Control Voltage: -5
SetPoint: 5  Speed: 352  Error: -347  Integral Component: -258.222  Control Voltage: -5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -256.684  Control Voltage: 5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -255.146  Control Voltage: 5
SetPoint: 5  Speed: 38  Error: -33  Integral Component: -257.301  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -258.229  Control Voltage: -5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -255.416  Control Voltage: 5
SetPoint: 5  Speed: -38  Error: 43  Integral Component: -252.577  Control Voltage: 5
SetPoint: 5  Speed: 39  Error: -34  Integral Component: -254.787  Control Voltage: -5
SetPoint: 5  Speed: 19  Error: -14  Integral Component: -255.69  Control Voltage: -5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -254.154  Control Voltage: 5
SetPoint: 5  Speed: -19  Error: 24  Integral Component: -252.577  Control Voltage: 5
SetPoint: 5  Speed: 58  Error: -53  Integral Component: -256.064  Control Voltage: -5
